ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
  331.0 3.729E-15  708.2
  331.5 3.681E-15  708.2
  332.0 3.635E-15  708.2
  332.5 3.588E-15  708.2
  333.0 3.543E-15  708.2
  333.5 3.498E-15  708.2
  334.0 3.453E-15  708.2
  334.5 3.410E-15  708.2
  335.0 3.366E-15  708.2
  335.5 3.324E-15  708.2
  336.0 3.282E-15  708.2
  336.5 3.240E-15  708.2
  337.0 3.199E-15  708.2
  337.5 3.159E-15  708.2
  338.0 3.119E-15  708.2
  338.5 3.080E-15  708.2
  339.0 3.041E-15  708.2
  339.5 3.003E-15  708.2
  340.0 2.965E-15  708.2
  340.5 2.928E-15  708.2
  341.0 2.891E-15  708.2
  341.5 2.855E-15  708.2
  342.0 2.819E-15  708.2
  342.5 2.783E-15  708.2
  343.0 2.749E-15  708.2
  343.5 2.714E-15  708.2
  344.0 2.680E-15  708.2
  344.5 2.647E-15  708.2
  345.0 2.614E-15  708.2
  345.5 2.581E-15  708.2
  346.0 2.549E-15  708.2
  346.5 2.517E-15  708.2
  347.0 2.486E-15  708.2
  347.5 2.455E-15  708.2
  348.0 2.424E-15  708.2
  348.5 2.394E-15  708.2
  349.0 2.365E-15  708.2
  349.5 2.335E-15  708.2
  350.0 2.306E-15  708.2
  350.5 2.278E-15  708.2
  351.0 2.249E-15  708.2
  351.5 2.222E-15  708.2
  352.0 2.194E-15  708.2
  352.5 2.167E-15  708.2
  353.0 2.140E-15  708.2
  353.5 2.114E-15  708.2
  354.0 2.088E-15  708.2
  354.5 2.062E-15  708.2
  355.0 2.037E-15  708.2
  355.5 2.011E-15  708.2
  356.0 1.987E-15  708.2
  356.5 1.962E-15  708.2
  357.0 1.938E-15  708.2
  357.5 1.914E-15  708.2
  358.0 1.891E-15  708.2
  358.5 1.868E-15  708.2
  359.0 1.845E-15  708.2
  359.5 1.822E-15  708.2
  360.0 1.800E-15  708.2
  360.5 1.778E-15  708.2
  361.0 1.756E-15  708.2
  361.5 1.735E-15  708.2
  362.0 1.713E-15  708.2
  362.5 1.693E-15  708.2
  363.0 1.672E-15  708.2
  363.5 1.652E-15  708.2
  364.0 1.631E-15  708.2
  364.5 1.612E-15  708.2
  365.0 1.592E-15  708.2
  365.5 1.573E-15  708.2
  366.0 1.553E-15  708.2
  366.5 1.535E-15  708.2
